trial,ARI_dagger_values,eps,min_samples
1,0.1975669134786782,0.07346289550180728,15
2,0.4115680218474336,0.03829565483009866,10
3,0.20421542157532868,0.06823249664276426,8
4,0.1514857642357642,0.09564700384587016,22
5,0.35578663003662997,0.04081414003487378,20
6,0.24676923076923074,0.02725976710593954,18
7,0.1327412897180339,0.02248408178788522,19
8,0.15594771894771894,0.09330239793157247,24
10,0.26682034665006765,0.04792518349416645,2
11,0.2942784911167264,0.04889417792071499,9
12,0.315534632034632,0.04689988171822504,10
13,0.437716435525259,0.036506765059173045,12
14,0.2396206734442028,0.06272368299182926,13
15,0.46016284365490184,0.03453182726919646,5
16,0.5395549160879098,0.014097476084119827,4
17,0.14660062431441745,0.01140453204321464,2
18,0.6652328922367622,0.019660353901262764,5
19,0.6891896030077818,0.02092472408056239,6
20,0.6704596544666204,0.021914611055890088,6
21,0.6225754913301353,0.0248790028041242,6
22,0.6678511003100787,0.02019538778485885,7
23,0.6534939847733965,0.017368156481801397,7
24,0.50860989010989,0.027336342670719577,11
25,0.29663757321110257,0.05591511914022793,15
26,0.5954744692832642,0.01984311676181401,4
27,0.0648919413919414,0.0817491419250043,7
28,0.32009584537276725,0.03116316816682776,3
29,0.14245570321151718,0.010219590013304539,8
30,0.40955909286791636,0.031453382638598426,15
31,0.6854738296619101,0.01840344751813766,5
32,0.7015055077772469,0.017238778762911855,6
33,0.5902330607988503,0.026843242840357502,5
34,0.3936734143049933,0.01622417101381051,9
35,0.37350184284240007,0.04371773777924144,6
36,0.31972931657725606,0.03129522100361678,3
37,0.5551431803490627,0.02289470036242374,9
38,0.3956881011145717,0.03975334015193435,11
39,0.5629764778721973,0.017289285417088074,4
40,0.08431315373652833,0.07387880146571285,6
41,0.6236988615959205,0.023901804107601832,7
42,0.6026052036199095,0.020048205146379058,8
43,0.3495325485487257,0.014759960092229539,3
44,0.5298114352967294,0.030365626697171806,8
45,0.6887308656666916,0.021229838748497914,6
46,0.4544795700889051,0.0351944676060611,5
47,0.16480451200953386,0.026590672534373916,2
48,0.08405575905575906,0.010496237297842537,10
49,0.3343267923819747,0.052048743543564716,6
0,0.32626984126984127,0.08976058303152797,36
1,0.3833819241982508,0.05363798668220661,32
2,0.35746825396825394,0.05958638632643896,12
3,0.047619047619047616,0.03766419555925446,44
4,0.15528860028860028,0.08259816967646466,14
5,0.06371067821067822,0.0905152491279438,13
6,0.33,0.08468602358114972,31
7,0.1215156794425087,0.04864641464012472,44
9,0.09859595959595958,0.09011141945745266,14
10,0.43218253968253967,0.0631385343039681,24
11,0.43773809523809526,0.06265811941480678,24
12,0.42424603174603176,0.06665154711640389,24
13,0.3977380952380953,0.06994506715789539,24
14,0.31462585034013607,0.03549714067219151,24
15,0.3840396825396825,0.07337110702755971,36
16,0.47910606060606065,0.0377610549083635,19
17,0.07756696428571427,0.020752373185768752,19
18,0.5141904761904762,0.04372516560288127,20
19,0.4737777777777778,0.03666531262288479,19
21,0.5112099567099567,0.04302075250932642,18
22,0.499579365079365,0.04352718406049131,17
23,0.540978576978577,0.027771094752845938,10
24,0.38263708513708505,0.0266392414247977,16
25,0.46367460317460313,0.04883758613272395,11
26,0.22934022767356102,0.014271304972135312,10
27,0.05092592592592592,0.026862134398736436,28
28,0.1441029900332226,0.032601149188864816,28
29,0.52,0.04473135805269657,16
30,0.014285714285714285,0.01881119885495519,21
31,0.52,0.04474431000710451,16
32,0.4556349206349206,0.054401177923771325,15
33,0.4730440115440115,0.04734193460832102,12
34,0.3145165945165945,0.05709187785461885,10
35,0.280571752510528,0.030484603659972097,21
36,0.515550505050505,0.04239283838081546,15
37,0.29061386459345645,0.051196353646266804,35
38,0.5158513708513708,0.041818477510143434,13
39,0.0546038961038961,0.09561057589552713,13
40,0.5176544011544011,0.038224635295729656,12
41,0.5154797979797979,0.038989196042021654,12
42,0.46021428571428563,0.029981568145395335,16
43,0.49193145743145733,0.04631881189836986,13
44,0.3961349206349206,0.052651970236429965,10
45,0.3366242600936478,0.021542703762822163,14
46,0.4920238095238095,0.03357292679943569,17
47,0.43873015873015875,0.04007194522043928,22
48,0.37888888888888883,0.0576975987585491,12
49,0.5299076479076478,0.03978555248345354,14
0,0.2907227233550763,0.05064809171694478,9
1,0.2971507936507936,0.0515577242345337,8
2,0.255121183426137,0.062272354521223205,9
3,0.07774725274725275,0.018988107996922028,23
4,0.4013058608058608,0.03800342455467239,16
5,0.3524862637362636,0.03982684217685487,20
6,0.14173210123210123,0.0982991478833106,22
7,0.3433342490842491,0.0387883989139742,20
8,0.024035547785547784,0.0849534807155044,4
9,0.08704212454212455,0.013806656495798889,13
10,0.23014081996434935,0.06728570087459584,15
11,0.36627106227106226,0.032481436083383566,17
12,0.4054821697909933,0.030535231007907726,15
13,0.38111111111111107,0.026140148763234387,14
14,0.38302014652014643,0.040899318314993265,17
15,0.35393665158371035,0.023232811350702723,13
16,0.2552550194903136,0.061621065202376174,11
17,0.05745561961048156,0.07577345866138174,5
19,0.35740659340659336,0.04727106719045601,17
20,0.28326739926739924,0.03044651092069788,19
21,0.3917032967032966,0.03675058526257345,17
22,0.4121291208791209,0.035643831657991634,15
23,0.34379562104562106,0.045488643453755,11
